bus_name,bus_rating,loc_latitude,loc_longitude
Salsarita's Fresh Mexican Grill,3.5,35.1168419237000009,-80.8565615430999998
Shane's Rib Shack,4,35.1671429761999974,-80.9731784482000023
Blynk Organic,4,35.2262460000000033,-80.844491000000005
Hungry Howie's Pizza,3.5,35.1361786000000009,-80.9369736000000017
Blaze Fast-Fire'd Pizza,4,35.3105029999999971,-80.747004000000004
Freddy's Frozen Custard & Steakburgers,4,35.4339043000000018,-80.6041349999999994
Chick-fil-A,3.5,35.3222590000000025,-80.6450520000000068
Pizza and Beyond,4.5,35.2556512000000026,-80.4597404999999952
Asian Garden,3.5,35.4435623999999976,-80.6234773999999987
Poppyseeds Bagels,4,35.0681492575999982,-80.6997860000000031
Chick-fil-A,4,35.2557550000000006,-81.0274600000000049
Cafeccino,4,35.2275436331999998,-80.8563065528999942
Chick-fil-A,4,35.4449522999999971,-80.8667070999999993
Cook Out,3.5,35.2368507385000029,-80.7379760742000059
B.GOOD,3.5,35.0585480000000018,-80.8139883999999995
Food Lion,3.5,35.2106015999999968,-80.7803277999999949
Papa Murphy's,4,35.3731343042000006,-80.7883273064999941
Mi Pueblo Mexican Grill,3.5,35.2915449999999993,-80.7651220000000052
Jersey Mike's Subs,5,35.1933798000000024,-80.7806379999999962
The Olde Mecklenburg Brewery,4,35.1874419999999972,-80.8819730000000021
Big Al's Pub & Grubberia,3.5,35.2106806000000034,-80.6861413999999968
Cast Iron Waffles,4,35.0261648999999977,-80.840650299999993
Nana's Soul Food Kitchen,4,35.190176000000001,-80.9219401999999945
Sunflour Baking Company,4,35.2124000000000024,-80.8171119999999945
Sub Station II,3.5,35.1148485000000008,-80.6947142000000071
Hungry Howie's Pizza,4.5,35.4703080000000028,-80.6114120000000014
Papa Murphy's,4,35.4060151999999988,-80.8650935999999945
The Olde Mecklenburg Brewery,4,35.1854980000000026,-80.8809779999999989
City Barbeque,4.5,35.4050213000000014,-80.8676583000000022
Ben & Jerry's,4,35.147357999999997,-80.8095679999999987
The Burrito Factory,4,35.3166275876000029,-80.7400268444000062
East Coast Wings & Grill,3.5,35.4435020000000023,-80.9971529999999973
Chick-fil-A,3.5,35.1323459999999983,-80.7120759999999962
Chick-fil-A,4,35.2110798000000003,-80.690954000000005
Harper's Restaurant,3.5,35.1480954999999966,-80.8318536000000023
Starbucks,3.5,35.313481000000003,-80.743116999999998
Don Pedro Mexican Restaurant,4,35.1878189999999975,-80.7573830000000044
Lempira Restaurant,3.5,35.1548069999999981,-80.8765604999999965
Chicken King,4,35.2109176000000019,-80.906450300000003
Chick-fil-A,3.5,35.3910759999999982,-80.6248863
Fit Fresh Kitchen,4,35.0562588000000019,-80.8540820999999994
Tropical Smoothie Cafe,4.5,35.310464445800001,-80.7469156870999996
Fresh Chef Kitchen,4.5,35.1706231000000002,-80.8065902999999963
Pita Pit,3.5,35.4814588596999982,-80.8554607696000005
La Unica,4.5,35.4438790000000026,-80.8724468999999999
Chick-fil-A,4,35.1716440000000006,-80.8499070000000017
Fit Fresh Kitchen,4.5,35.2554376000000005,-80.4527592999999968
Waterbean Coffee,4,35.4430341999999996,-80.8638537000000071
The Burrito Factory,4,35.1538520000000005,-80.876570000000001
Starbucks,3.5,35.212487000000003,-80.8179329999999965
Famous Toastery,4,35.3749850000000023,-80.7290370000000053
Which Wich,4,35.0991250000000008,-80.9888559999999984
Los Paisas,4,35.1685609000000028,-80.8749310000000037
Chick-fil-A,3.5,35.3497316999999995,-80.8564731000000023
Metro Diner,4.5,35.4075259999999972,-80.8631660000000068
Eddie's Place,4,35.1717634999999973,-80.806208600000005
Dino's Family Restaurant,4,35.2546859999999995,-80.7935149999999993
Pollo Campero,4,35.1519364999999979,-80.8768230999999957
China Buffet,3.5,35.197254700000002,-80.7693723000000006
Domino's,3.5,35.1604116000000033,-80.799920599999993
Waterbean Coffee,4.5,35.4765172000000035,-80.8922972000000016
Toppers Pizza,4,35.3057726999999986,-80.7233906999999959
Midwood Smokehouse,4,35.0701299999999989,-80.8435307999999964
Subway Restaurants,3.5,35.0891974000000033,-80.8605246000000051
Hazelnuts Creperie,4.5,35.0346832000000035,-80.8068499000000031
Little Caesars Pizza,3.5,35.1514326631999978,-80.875437934100006
McAlister's Deli,4,35.1616509999999991,-80.9718220000000031
Five Guys Burgers and Fries,4,35.0558229000000026,-80.8536519999999967
Jimmy John's,3.5,35.4803327999999993,-80.886874700000007
Tropical Smoothie Cafe,3.5,35.0864730023999982,-80.8471449999999976
Famous Toastery,4,35.1382795999999971,-80.9331722999999954
El Vallarta,3.5,35.4403390000000016,-80.6035239999999931
Cluck N Cup,3.5,35.3498250000000027,-80.8420188999999993
Shake Shack,3.5,35.0342936999999992,-80.8063307000000037
LongHorn Steakhouse,4,35.4468189999999979,-80.5991685000000047
Fortune Cookie,4,35.2575462000000002,-80.735118700000001
Metro Diner,4.5,35.0883799488999983,-80.8605643597999943
Culver's,4,35.0467999999999975,-80.6436999999999955
Matt's Chicago Dog,4,35.2240131000000005,-80.8464728000000008
Tijuana Flats,4,35.0557994999999991,-80.8536497000000054
Bojangles' Famous Chicken 'n Biscuits,3.5,35.2183800000000033,-80.9454292830999975
Mr Tokyo Japanese Restaurant,3.5,35.0080450000000027,-80.561858799999996
Bad Daddy's Burger Bar,4,35.0527702324000003,-80.8474124496000002
Bojangles' Famous Chicken 'n Biscuits,4,35.2476436999999976,-80.8180023000000034
